序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
168	0	98	2	사마소: 어디서 굴러먹다온 촌놈들이 감히 진법을 파괴하다니! 하후 형제들이 빨리 나서야겠군!	101	2	하후연: 어느놈이 나의 꿀잠을 깨우는 것이냐! 겨우 한숨 자려고 했더니만! 진짜 짜증나게 하는군!!	96	2	하후돈: 하후돈이 여기에 왔다!!  이제 네놈들을 가만둬서는 안되겠구나!													
169	0	83	2	방통: 여러분 오래간만이에요~! 이거 예상과 다르게 다들 아주 좋아보이시네요!	98	2	사마소: 방통 이 배신자 같은 놈이 아직 죽지도 않고 저 촌뜨기 놈에게 붙어 대왕의 패업 완성에 방해만 하는군!	83	2	방통: 사마소! 네 놈들이 이렇게 시간을 끄는 것이 곧 밤이 오면 잠든 여포를 깨우려는 것임을 우리가 모를 것이라 생각하느냐!!	98	2	사마소: 하하하!! 그렇다!!										
170	1	86	2	여포: 잠시나마 운기를 회복하게 해주어 고맙군요! 시간이 없으니 잘 들으세요! 각 제단마다 저의 분신이 지키고 있고， 저기 저 제단을 지키고 있는 것이 진짜 입니다.	86	2	여포: 실제 저를 잃어버린 저는 지금 할 수 있는게 없군요! 허나 다시 만난다면 조심하셔야 합니다. 그리고 세상에 있는 다섯 개의 제단을 모두 찾아 파괴해야 합니다!																
10001	0	-2	1	도와주세요! 성 밖에 황건적들이 몰려와 주민들을 약탈하고 있어요!	-1	1	황건적? 그들 역시 농민들이 아니었나? 그들이 왜 백성들을 괴롭히는거지?	-2	1	어느 날 부터인가 황건적 무리들이 점차 포악해지고 약탈을 일삼아 백성들이 고통받고 있습니다. 주공께서 부디 그들을 퇴치해주세요.	-1	1	좋아! 유황숙을 만나러 가는 김에 황건적 녀석들 정도는 무찔러주지! ...그런데 나 혼자는 좀 힘들 것 같은데.. 나를 도와줄 무장들은 없나?	-2	1	무장들을 모집하기 위해선 우선 자금이 필요합니다. 최근 관부에서 황건적 격퇴를 격려하기 위해 매일 자금을 지급하고 있으니 먼저 자금을 마련하러 가시지요.							
10002	0	-2	1	다음은 전투에 출전할 무장들을 모집할 차례입니다. 무장을 모집하려면 객잔으로 가셔야 합니다.																			
10003	0	-2	1	이제 무장들을 진형에 배치해야 합니다. 진형에 배치한 무장들이 실제 전투에 출전할 수 있어요.																			
10004	0	-2	1	진영 배치에는 주장이 가장 중요한 키포인트 입니다. 주장의 진형을 통해 전쟁에서 사용되는 진형이 정해집니다. 무장 하나를 선택하여 주장으로 설정하십시오.																			
10005	0	-1	1	후， 이기기는 했지만 이대로 모든 황건적들을 퇴치하긴 어렵겠는걸.. 무장들을 더욱 육성하는 방법이 있을 것 같은데?	-2	1	후훗， 물론이죠. 육성 메뉴를 통해 무장들의 강화와 진화가 가능합니다. 직접 무장을 육성해 볼까요?																
10006	0	-2	1	무장의 레벨은 무장강화 메뉴를 통해 올릴 수 있습니다. 무장강화시에는 다른 무장들을 재료로 소비하므로 가능한 많은 무장들을 모집하셔야 해요.																			
10007	0	-2	1	무장은 레벨에 따라 능력치가 성장하며 일정 레벨이 되면 다음 단계 진화도 가능합니다. 그럼 무장의 레벨을 올리러 가 볼까요?																			
10008	0	-1	1	좋아. 어렵지 않구만! 이런식이라면 황건적도 문제가 아니겠어.																			
10009	0	-2	1	무장들은 장비를 착용하여 더욱 강한 힘을 발휘 할 수 있습니다. 조금 전 관아에서 지급받은 장비상자에서 새 무기를 얻으실 수 있어요.																			
10010	0	-2	1	장비상자의 등급이 높을 수록 고급 장비를 획득할 수 있습니다. 장비상자는 상점에서 구입하거나 정예 난이도의 던전에서 획득 가능합니다.	-2	1	장비는 무기， 방어구 등 4가지 종류가 있으며 무장의 능력치를 높여줍니다. 장비마다 기본 능력치 외에 추가 능력이 부여된 경우도 있으니 잘 확인해 보세요.																
10011	0	-2	1	매일 완수한 임무에 따라 임무점수를 획득하게 됩니다. 임무점수를 일정 이상 모으게 되면 그에 따른 보상을 수령하실 수 있어요.																			
10012	0	-2	1	일일임무의 임무 목록과 획득한 임무점수는 매일 자정이면 초기화됩니다. 초기화 되기 전에 임무수행과 보상 수령 하는 것을 잊지 마세요.																			
10013	0	-2	1	상점의 상품들은 매일 12시， 22시에 랜덤으로 갱신됩니다. 상단의 갱신버튼으로 즉시 갱신도 가능하지만 이 때는 갱신패나 수정이 소비되니 주의하세요.																			
10014	0	-2	1	무장과 마찬가지로， 병사 역시 육성이 가능합니다. 병사들을 강화/진화시키면 강력한 정예부대를 육성할 수 있습니다. 직접 병사를 육성하러 가 볼까요?																			
10015	0	-2	1	강화를 통해 병사의 레벨을 올릴 수 있습니다. 레벨에 따라 병사들의 능력치가 상승하며 일정 레벨에 도달하면 더욱 강력한 병종으로 진화가 가능합니다.																			
10016	0	-2	1	편장은 출전 무장들을 보좌하여 무장들에게 추가적인 능력치를 부여합니다. 바로 편장을 배치하러 가 볼까요?																			
10017	0	-2	1	천계는 모든 유저들이 순위를 다투는 곳입니다. 순위에 따라 천계포인트를 획득할 수 있으며 천계포인트는 포인트상점에서 희귀 아이템 등으로 교환할 수 있습니다.																			
10018	0	-2	1	천계는 순위에 따라 포인트가 지급됩니다. 상점에서 포인트 사용이 가능합니다. 천계에서 방어 진형을 설정할 수 있습니다.																			
10019	0	-2	1	초기 방어진형은 공격진형과 동일하게 설정됩니다. "오늘의 진형"에 따라 매일 유리한 진형이 변경되니 그때그때 적절한 진형을 배치하세요.																			
10020	0	-2	1	아직은 보유하신 포인트가 부족하겠지만 꾸준히 천계 전투에 도전하신다면 금방 고급 무장과 아이템들을 구입하실 수 있을 거에요.																			
10021	0	-2	1	주성에서는 매일 보물상자， 원보， 은전을 획득할 수 있습니다. 주성을 자주 이용하면 할 수록 획득량도 많아지니 주성에 자주 들르시는 것을 추천드릴게요.																			
10022	0	-2	1	주성에는 보물탐색， 치안관리， 상업관리 시설이 있고 각 시설에는 무력， 지력， 통솔이 높은 무장을 배치하는 것이 효율이 가장 좋습니다.																			
10023	0	-2	1	임무에 대응하는 속성은 오른쪽 위에 있는 물음표를 클릭하시면 자세한 내용을 확인할 수 있습니다. 자， 무장을 파견하여 보물을 찾는 임무를 진행해 보겠습니다.																			
10024	0	-2	1	임무가 완료되기까지는 30분이 소요됩니다. 원보를 사용하여 속도를 높일 수 있고， 기본 보상 외에 무장의 능력에 따라 랜덤보상을 얻는 경우도 있습니다.																			
10025	0	-2	1	각 무장은 하루에 1번씩 주성 임무 수행이 가능합니다. 무장에 따라 시설의 경험치 획득량 또한 다르므로 각 시설마다 적절한 무장들을 배치해 주세요.																			
10026	0	-2	1	칠성단에서는 각성을 통해 진 등급 이상의 무장들에게 추가 속성을 부여해 줄 수 있습니다. 바로 각성을 진행해 볼까요?																			
10027	0	-2	1	길드에서는 길드원들과 문안인사를 주고 받으며 활력， 은전 획득이 가능합니다. 또 길드에 가입해야만 길드 던전에도 도전이 가능하니 꼭 길드에 가입해 보세요.																			
10028	0	-2	1	무장훈련 전투에서 승리할 경우 각 난이도에 따라 공훈을 획득합니다. 획득한 공훈이 100%가 되면 무장이 오픈되고 해당 무장을 얻게 됩니다.	-2	1	단， 전투에 패배할 경우 전투 참가시 소비되는 은전량이 점점 많아지므로 주의가 필요합니다. 꼭 전투에 승리하셔서 고급 무장을 얻어가시길 바랍니다!																
10029	0	-2	1	혈전은 패배하지 않는 한 계속해서 도전이 가능한 던전입니다. 승리하면 할 수록 대량의 은전과 더불어 원보， 수정， 무장 조각 등 다양한 보상을 얻을 수 있습니다.																			
10030	0	-2	1	혈전의 각 관문마다 보통， 어려움， 극악의 난이도를 선택하여 도전할 수 있습니다. 난이도가 높을수록 당연히 더 많은 보상을 기대할 수 있어요.	-2	1	또한， 높은 난이도에서 승리하면 더 많은 별을 획득하게 됩니다. 제5관 클리어 이후 획득한 별들을 소비하여 혈전에서의 속성 증가 효과를 얻을 수 있어요.																
10031	0	-2	1	혈전에서는 매 5번째 관문을 통과할 때마다 속성 증가 효과를 선택할 수 있습니다. 더 많은 별을 얻기 위해 높은 난이도의 전투에 도전해 보세요.																			
10032	0	-2	1	신장뽑기 메뉴에서는 4~5성 무장과 6성 신장이 등장합니다. 이벤트 기간마다 다른 신장이 등장하므로 원하는 신장이 있는 경우 기간 내에 뽑는것이 유리합니다!	-2	1	또한，매 이벤트 기간마다 뽑기 횟수에 따라 포인트가 지급되어 뽑기 순위가 결정됩니다. 뽑기 순위가 높은 분들에게는 별도의 추가 보상이 지급되니 놓치지 마세요!																
10033	0	-2	1	정예 난이도 던전은 하루에 3번밖에 도전이 불가능하지만， 더욱 고급 보상 아이템을 얻을 수 있으니 놓치지 말고 꼭 도전하세요!																			
